,blockNumber,address,gasPrice,meanGasPriceLastTenBlocks,stdGasPriceLastTenBlocks,meanGasPriceLastTenBlocksSameEOA,stdGasPriceLastTenBlocksSameEOA,usedGasToken,predictedGasPrice
36,10632701,0x51db325B736aABEE2B614957AB93b9BB5261F954,2.01500510275e-07,1.1434814044019043e-07,4.97550979531111e-08,1.9150022571033333e-07,4.3399485321834036e-08,False,4.0486858241579234e-08
37,9211347,0x32bab4F64CE45012b339afb64f71936d4fe1c87D,4.15140003e-09,8.77764755626584e-09,1.1157884474415291e-08,3.945700014499999e-09,2.0570001550000006e-10,False,4.048685493642151e-08
38,10438510,0x0F8F3fbAA732bBf83C23616FED9AEF29Fa0Bb29b,3.5374040004e-08,3.713908775120262e-08,1.2605139998174135e-08,3.26870200015e-08,2.6870200025000005e-09,False,4.048685534956622e-08
39,10637490,0x76C6430BD401F0C15E073b2CD5D3b510ea720A95,1.25511677679e-07,1.3404764215993817e-07,3.716761179505174e-08,1.232558389555e-07,2.255838723499993e-09,False,4.0486857828434514e-08
40,10974282,0x258726BDA77a0e0239b8E13B92f1d543659AD013,5.3610626245e-08,1.392528908904609e-07,5.655671084383906e-07,5.1805313122e-08,1.8053131229999993e-09,False,4.0486855969283294e-08
41,11283034,0x4F69c5B694D5A14a0a595703175c478Ec6B2a2Fe,1.02000000001e-07,1.051588488314156e-07,1.3495539891344263e-07,1.02000000001e-07,0.0,False,4.048685762186216e-08
42,7128883,0xE185E2Ab092e8a046cbb815174D9D6aAe1C91d9a,7e-09,1.4088991979985915e-08,1.4517002455404347e-08,6.499999999499999e-09,5.000000005e-10,False,4.048685493642151e-08
43,10589987,0x51db325B736aABEE2B614957AB93b9BB5261F954,4.00560189727e-07,5.535716522610438e-08,5.73385255737616e-08,2.050320876782e-07,1.399303445581117e-07,False,4.048685555613858e-08
44,10435212,0x1eF810335e1C0AF818487c2019A29ED2a3309810,4.6314964053e-08,2.9970320506301675e-08,1.9476937649143644e-08,3.71574820265e-08,9.1574820265e-09,False,4.0486855142993866e-08
45,10947159,0x86254Cb5A96C161E503d3255d67Fdddec056FEfe,5.4000000088e-08,4.722742648468503e-08,2.185647707440253e-08,5.4000000088e-08,0.0,False,4.048685617585565e-08
